crystal_system,seed,feature,mae_increase,within_seed_std,test_mae,rank_within_seed
Orthorhombic,55,MagpieData maximum CovalentRadius,0.003406905916456604,0.000470451376478274,0.6447019372673305,51.0
Orthorhombic,55,MagpieData range CovalentRadius,0.0026093987014539355,0.0008028752064637869,0.6447019372673305,56.0
Orthorhombic,55,MagpieData mean CovalentRadius,0.04835031024675942,0.004527269552688421,0.6447019372673305,6.0
Orthorhombic,55,MagpieData avg_dev CovalentRadius,0.017819238335262333,0.0027734621076906983,0.6447019372673305,13.0
Orthorhombic,55,MagpieData mode CovalentRadius,0.00041964583916032083,3.7923711132370786e-05,0.6447019372673305,87.0
Orthorhombic,55,MagpieData minimum Electronegativity,0.004401902253282563,0.000684400214322691,0.6447019372673305,44.0
Orthorhombic,55,MagpieData maximum Electronegativity,-0.00010489034650325024,5.409638306435117e-05,0.6447019372673305,133.0
Orthorhombic,55,MagpieData range Electronegativity,0.005621011994201041,0.00023950420305144263,0.6447019372673305,38.0
Orthorhombic,55,MagpieData mean Electronegativity,0.011204994852650075,0.0005626636610585996,0.6447019372673305,18.0
Orthorhombic,55,MagpieData avg_dev Electronegativity,0.007759218461287465,0.0008632030965457764,0.6447019372673305,29.0
Orthorhombic,55,MagpieData mode Electronegativity,0.00040279394237936473,9.552212830302224e-05,0.6447019372673305,89.0
Orthorhombic,55,MagpieData minimum NsValence,0.0003136355650859013,7.04178586417033e-05,0.6447019372673305,91.0
Orthorhombic,55,MagpieData maximum NsValence,-1.3322676295501878e-16,1.0877919644084148e-16,0.6447019372673305,120.0
Orthorhombic,55,MagpieData range NsValence,0.00016180151623355066,0.0001292539476621931,0.6447019372673305,97.0
Orthorhombic,55,MagpieData mean NsValence,0.0009983614974800048,0.0002941002446343675,0.6447019372673305,73.0
Orthorhombic,55,MagpieData avg_dev NsValence,0.003096900679327619,0.0004374153955066245,0.6447019372673305,54.0
Orthorhombic,55,MagpieData mode NsValence,0.00010264679903753127,7.933000236866416e-05,0.6447019372673305,101.0
Orthorhombic,55,MagpieData minimum NpValence,8.15898887417843e-05,5.5879456001328783e-05,0.6447019372673305,104.0
