crystal_system,feature,mean_mae_increase,std_across_seeds,mean_within_seed_std,top3_seed_count,positive_seed_count,mean_rank
Cubic,MagpieData avg_dev GSvolume_pa,0.005351499500661743,0.005019725959644438,0.0017468417564410175,0,4,51.4
Cubic,MagpieData mean MeltingT,0.005231564262844244,0.0022872817103005254,0.0015932909441732528,0,5,34.0
Cubic,MagpieData range MendeleevNumber,0.005079945019989025,0.002610470607593943,0.0018966049880176257,0,5,36.0
Cubic,MagpieData range MeltingT,0.004760091716770333,0.00200552113852906,0.0012348821647351319,0,5,35.8
Cubic,MagpieData range GSvolume_pa,0.004717250077859792,0.0015445641925352987,0.0012861606735948211,0,5,33.4
Cubic,MagpieData maximum MeltingT,0.004554622242069945,0.0017116565172675784,0.0011524332650377515,0,5,36.6
Cubic,MagpieData avg_dev MendeleevNumber,0.0045204477469604635,0.0029287725545261993,0.0014524232610831985,0,5,41.6
Cubic,MagpieData mean MendeleevNumber,0.0043668256923399835,0.0012058217237976363,0.0012827696734700601,0,5,35.4
Cubic,MagpieData mean Electronegativity,0.00412523647290413,0.003541284266632374,0.002080852577610964,0,5,44.4
Cubic,MagpieData avg_dev NUnfilled,0.004111249030227313,0.0014416671618351028,0.0011267472983799093,0,5,40.2
Cubic,MagpieData maximum GSvolume_pa,0.003957935647337348,0.00062926773878236,0.00100229372817926,0,5,38.8
Cubic,MagpieData maximum CovalentRadius,0.0038735547821515627,0.0016985057615233872,0.0009073776264666846,0,5,42.0
Cubic,MagpieData range NUnfilled,0.003870973952448775,0.002641769633528562,0.0009321143373837448,0,4,52.4
Cubic,MagpieData minimum Electronegativity,0.0033606093400137343,0.001644555052301134,0.0008621575298247764,0,5,43.8
Cubic,MagpieData avg_dev MeltingT,0.003280814372621386,0.001607057187743848,0.0015291623178431382,0,5,47.0
Cubic,MagpieData mean NValence,0.003261740878031723,0.0012522380088829375,0.0008023160567293344,0,5,46.0
Cubic,MagpieData avg_dev GSmagmom,0.003079433341213424,0.0016725002663369242,0.0009701960403054558,0,5,47.2
Cubic,MagpieData mean GSbandgap,0.003071971489639158,0.0023724949019598767,0.001525160046538589,0,5,51.4
Cubic,MagpieData range NValence,0.002829960734327486,0.0019893414047273393,0.0013702367367182896,0,4,59.4
Cubic,MagpieData maximum SpaceGroupNumber,0.0028233106596485015,0.0011425126734206023,0.0005698678448859112,0,5,51.6
Cubic,MagpieData mean GSmagmom,0.002721871874980355,0.0006102470609897741,0.0008500063975653922,0,5,49.4
Cubic,MagpieData range AtomicWeight,0.00256059676114194,0.00210136136980597,0.0010808084542905199,0,4,63.8
Cubic,MagpieData minimum MendeleevNumber,0.002410735107720137,0.0018036016656998468,0.0010705333507552226,0,4,65.4
Cubic,MagpieData avg_dev NsUnfilled,0.0023821044923914548,0.0010103806103575034,0.00041233221637055885,0,5,53.8
Cubic,MagpieData avg_dev NpUnfilled,0.002336207583387053,0.0026748640175277413,0.0015741907951946333,0,4,68.8
Cubic,MagpieData range SpaceGroupNumber,0.0022462636541219893,0.0009388426473758437,0.0006678806608631071,0,5,55.8
Cubic,MagpieData maximum NValence,0.001847951673137884,0.0010093599690454182,0.0009840957234178223,0,5,60.2
Cubic,MagpieData range Electronegativity,0.001838266654390508,0.0007642100621845875,0.0007409172689095257,0,5,59.0
Cubic,MagpieData range GSbandgap,0.0017941921817955508,0.0011236814805568106,0.0005582946402954442,0,5,63.0
Cubic,MagpieData range Number,0.0017912419467103202,0.0003788914751388313,0.0006691634235357922,0,5,59.4
Cubic,MagpieData avg_dev NsValence,0.0016297278038452136,0.0015359784957461756,0.0004481697636612344,0,4,71.2
Cubic,MagpieData mean NdUnfilled,0.0015857225514409247,0.0011796708648375033,0.0008257013175728299,0,4,71.8
Cubic,MagpieData avg_dev AtomicWeight,0.0015792138061320627,0.002053358163119127,0.0007036098565821693,0,3,80.4
Cubic,MagpieData minimum NValence,0.0015757074516941124,0.0014410504701951876,0.0009965251555983344,0,5,63.2
Cubic,MagpieData mean SpaceGroupNumber,0.0014927094633916348,0.0016860411015625126,0.0025454648320561457,0,4,76.6
Cubic,MagpieData maximum GSbandgap,0.001485359651600029,0.0008937565641354898,0.0006036801102337782,0,5,64.0
Cubic,MagpieData avg_dev NfValence,0.001432129774255313,0.0009431167669695092,0.0005704238279651736,0,5,64.6
Cubic,MagpieData mean NsValence,0.0013997909472186132,0.00034279244791926,0.00043120941260173023,0,5,65.6
Cubic,MagpieData avg_dev Number,0.0013741576099782816,0.0015015065824794578,0.0006749305689188433,0,4,72.8
Cubic,MagpieData maximum NpUnfilled,0.001298201017999987,0.0014656735903270334,0.0007890601483919677,0,4,75.6
Cubic,MagpieData range NpUnfilled,0.0011927938496504975,0.00034815806761784594,0.0008012536670974804,0,5,66.8
Cubic,MagpieData maximum NdUnfilled,0.0011771673983440724,0.0008512217247312331,0.0004431727522981716,0,5,67.8
Cubic,MagpieData maximum NfUnfilled,0.0011477955785993243,0.0009683602713870705,0.0006936024391650908,0,4,76.0
Cubic,MagpieData range Column,0.0011467626060163026,0.000626726423941938,0.0004624229533802659,0,5,70.2
Cubic,MagpieData mean GSvolume_pa,0.0010390339670435411,0.0037884402564474402,0.0025769762875115436,0,4,66.8
Cubic,MagpieData minimum Column,0.0009615419925088321,0.0009980035423181083,0.0003322736409332557,0,5,71.6
Cubic,MagpieData range NfUnfilled,0.0009535582758045492,0.000503679517191312,0.0003071629996355096,0,5,71.0
Cubic,MagpieData range GSmagmom,0.0008865896353599291,0.00029117136116850977,0.000383944855579863,0,5,70.0
Cubic,MagpieData maximum GSmagmom,0.0008247927504105145,0.0008272367858097151,0.0004086585904287984,0,5,76.4
Cubic,MagpieData avg_dev NdUnfilled,0.0007707639786910959,0.0013716478403782487,0.0008055644148691803,0,4,79.4
Cubic,MagpieData mean NfValence,0.0007707229505562463,0.0008231922939958526,0.0005645394255813327,0,4,83.4
Cubic,MagpieData range NdUnfilled,0.000759272880013997,0.0009733392012890653,0.00038810303331495604,0,4,82.0
Cubic,MagpieData mean NsUnfilled,0.0006790754806169108,0.0006335712029867275,0.000383237253409591,0,4,84.8
Cubic,MagpieData minimum NUnfilled,0.0005689463381460369,0.0011435606480691024,0.0006822219253526309,0,4,88.0
Cubic,MagpieData maximum NfValence,0.00048757522901144763,0.0003682192645183319,0.00023302076785878533,0,4,86.6
Cubic,MagpieData mode Number,0.0003984656800841924,0.00033833227574492776,0.00069985992541184,0,5,82.8
Cubic,MagpieData minimum SpaceGroupNumber,0.00022335111875155356,0.0002106066573339893,4.2514844663955716e-05,0,5,86.4
Cubic,MagpieData maximum MendeleevNumber,0.00022164602618391258,0.0003683902870787411,0.00035125720247147394,0,3,98.4
Cubic,MagpieData range NfValence,0.00019134819634144762,0.00025633222579608085,0.00022183622711292829,0,4,94.0
Cubic,MagpieData minimum NpValence,0.00017209156609089503,0.00023430677938127625,4.543737947177094e-05,0,3,101.6
Cubic,MagpieData mode AtomicWeight,0.0001712452743401327,0.00035849798871621713,0.0004807498547283382,0,4,94.4
Cubic,MagpieData range NsValence,0.0001679449579436465,0.00019312374247853163,0.0001402734395198742,0,4,94.6
Cubic,MagpieData range NsUnfilled,0.000144885325632802,0.00021603059155135107,0.00024943308625944037,0,3,98.6
Cubic,MagpieData minimum NsValence,9.94600229478637e-05,0.0001427781802055541,0.00027440005408012954,0,3,101.0
Cubic,MagpieData mode CovalentRadius,9.40398879551596e-05,0.00018720572291997282,2.3003181713782998e-05,0,2,106.8
Cubic,MagpieData maximum Row,8.384440631259427e-05,0.0002421088636191249,0.00015486299730269146,0,3,104.0
Cubic,MagpieData range NpValence,7.965041163537911e-05,0.0001350067782632922,0.0001248167606588703,0,4,99.4
Cubic,MagpieData mode NValence,7.910595388758158e-05,6.17341777895201e-05,2.8384122846296542e-05,0,5,94.6
Cubic,MagpieData mode NpUnfilled,6.767531102704893e-05,7.615791932699452e-05,3.4871338399205446e-05,0,4,99.0
Cubic,MagpieData maximum Column,6.472470588235524e-05,3.6240954913112056e-05,5.09451626581248e-05,0,5,95.6
Cubic,nelements,6.41992971233529e-05,0.0006207368430542788,0.0006062638070778476,0,2,108.8
Cubic,MagpieData maximum NpValence,6.270817292377106e-05,8.248777449223688e-05,5.4940423167253184e-05,0,4,98.8
Cubic,MagpieData mode MendeleevNumber,6.117971180387371e-05,7.70182196588726e-05,0.00026091189904540806,0,4,98.8
Cubic,MagpieData minimum MeltingT,5.519859554825146e-05,0.00011012190726416095,2.285947032826476e-05,0,3,105.2
Cubic,MagpieData mode SpaceGroupNumber,4.802308123251109e-05,5.540747176287079e-05,8.130410880927198e-07,0,4,98.0
Cubic,MagpieData maximum Electronegativity,4.1529411764753555e-05,5.701340846530984e-05,1.0877919644084147e-17,0,3,100.0
Cubic,MagpieData minimum CovalentRadius,3.838006414935702e-05,6.146993203167077e-05,2.4037379327497422e-05,0,3,104.6
Cubic,MagpieData mode Electronegativity,2.8927629504087444e-05,0.00013086270611222038,0.00020425263260010298,0,4,99.6
Cubic,MagpieData maximum NsUnfilled,2.8438646116111248e-05,0.00046173829278825713,0.00017022230337788289,0,3,103.8
Cubic,MagpieData mode Column,1.8640334105470836e-05,0.00021887007244310525,5.456899360051548e-05,0,3,105.4
Cubic,MagpieData mode Row,1.727431191755002e-05,5.693285075576614e-05,9.511737297366282e-06,0,1,113.2
Cubic,MagpieData mode NsUnfilled,1.0980168067247219e-05,1.5124015225678658e-05,3.0207282915006623e-07,0,3,105.0
Cubic,MagpieData mode GSbandgap,3.1086244689504386e-17,5.347542221830668e-17,2.6645352591003762e-17,0,2,105.2
Cubic,MagpieData minimum GSmagmom,3.108624468950438e-17,6.586907452451086e-17,1.97597038410854e-17,0,2,105.8
Cubic,MagpieData minimum NfValence,3.108624468950438e-17,6.586907452451086e-17,2.6645352591003756e-17,0,2,105.2
Cubic,MagpieData mode NfUnfilled,2.6645352591003756e-17,5.3012422835122853e-17,2.7494216368305045e-17,0,2,105.8
Cubic,MagpieData maximum NsValence,2.2204460492503132e-17,5.874748045952207e-17,2.1755839288168294e-17,0,2,106.8
Cubic,MagpieData minimum NdValence,2.2204460492503132e-17,5.438959822042073e-17,3.7523272235087905e-17,0,2,107.0
Cubic,MagpieData mode NfValence,2.2204460492503132e-17,5.2074075716206693e-17,3.752327223508791e-17,0,2,108.4
Cubic,MagpieData minimum NfUnfilled,1.7763568394002505e-17,6.161487731364982e-17,3.8372136012389196e-17,0,2,108.4
Cubic,MagpieData minimum NdUnfilled,1.3322676295501878e-17,5.573275351449751e-17,3.32325934484418e-17,0,1,106.6
Cubic,MagpieData minimum NsUnfilled,1.3322676295501878e-17,5.57327535144975e-17,3.9519407682170806e-17,0,2,109.4
Cubic,MagpieData mode NdValence,1.3322676295501875e-17,5.1118506908404534e-17,4.840119187917206e-17,0,2,110.0
Cubic,MagpieData mode NdUnfilled,8.881784197001253e-18,3.715516900966501e-17,3.95194076821708e-17,0,2,109.2
Cubic,MagpieData minimum GSbandgap,8.881784197001251e-18,4.604414927850736e-17,4.1515543129253694e-17,0,2,111.0
Cubic,MagpieData mode GSmagmom,4.4408920985006255e-18,3.972054645195637e-17,2.8641488038086657e-17,0,1,109.2
Cubic,MagpieData minimum Row,-7.761381443294191e-06,2.389500831925341e-05,1.1687426250694014e-05,0,1,117.6
Cubic,MagpieData minimum Number,-9.013201062804101e-06,0.0003329845848592015,0.00027186198707398237,0,3,104.8
Cubic,MagpieData mode NsValence,-9.52582633054089e-06,5.6271113964858963e-05,3.205553745659659e-06,0,4,105.4
Cubic,MagpieData mode MeltingT,-1.97499159663872e-05,8.909433009290437e-05,7.978039215720929e-06,0,3,109.6
Cubic,MagpieData mode NUnfilled,-2.2563581223127296e-05,8.600818000456454e-05,1.5542910121594687e-05,0,3,109.8
Cubic,MagpieData mode NpValence,-4.704230604087201e-05,9.067145716776869e-05,2.1786154774471798e-05,0,2,114.8
Cubic,MagpieData minimum AtomicWeight,-5.770338432104615e-05,0.00021514993089374786,0.0002552260636215866,0,2,113.4
Cubic,MagpieData mode GSvolume_pa,-5.962957599983553e-05,5.0736109945326216e-05,7.97506166082984e-05,0,0,123.8
Cubic,MagpieData minimum NpUnfilled,-9.824671541607711e-05,0.0002841518596735614,6.2271730019507e-05,0,1,120.0
Cubic,MagpieData minimum GSvolume_pa,-0.00023564633701504966,0.0001766630566342642,9.431280902809141e-05,0,0,129.4
