crystal_system,feature,mean_coefficient,std_coefficient,mean_absolute_coefficient,std_absolute_coefficient,nonzero_folds
Hexagonal,MagpieData range NpUnfilled,-0.053455423883790154,0.027627466408544313,0.053455423883790154,0.027627466408544313,5
Hexagonal,MagpieData range NpValence,0.0,0.0,0.0,0.0,0
Hexagonal,MagpieData range NsUnfilled,0.0,0.0,0.0,0.0,0
Hexagonal,MagpieData range NsValence,0.0,0.0,0.0,0.0,0
Hexagonal,MagpieData range Number,0.0,0.0,0.0,0.0,0
Hexagonal,MagpieData range Row,0.0,0.0,0.0,0.0,0
Hexagonal,MagpieData range SpaceGroupNumber,-0.00029508563318436377,0.027723419475232266,0.015681068542970945,0.021478522842635996,2
Hexagonal,density,-0.4356805465763608,0.09335904010804758,0.4356805465763608,0.09335904010804758,5
Hexagonal,energy_above_hull,-0.2792174530246688,0.07962561374956055,0.2792174530246688,0.07962561374956055,5
Hexagonal,formation_energy_per_atom,-1.0597398530183129,0.1377791097458555,1.0597398530183129,0.1377791097458555,5
Hexagonal,nelements,0.04046444257108662,0.04339222592267911,0.04232949985188603,0.04110797932424142,5
Hexagonal,nsites,-0.10272595590898763,0.13495627407030586,0.10272595590898763,0.13495627407030586,3
Hexagonal,volume,0.09188398704521442,0.12487525773316506,0.09188398704521442,0.12487525773316506,3
Monoclinic,MagpieData avg_dev AtomicWeight,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData avg_dev Column,0.2515530888533957,0.036198159187086194,0.2515530888533957,0.036198159187086194,5
Monoclinic,MagpieData avg_dev CovalentRadius,-0.21321639630072134,0.03664704552682657,0.21321639630072134,0.03664704552682657,5
Monoclinic,MagpieData avg_dev Electronegativity,-0.7423099358989308,0.0388143064390739,0.7423099358989308,0.0388143064390739,5
Monoclinic,MagpieData avg_dev GSbandgap,-0.13900939463842438,0.02623266815305352,0.13900939463842438,0.02623266815305352,5
Monoclinic,MagpieData avg_dev GSmagmom,0.021768997178800854,0.04606743116732059,0.021768997178800854,0.04606743116732059,2
Monoclinic,MagpieData avg_dev GSvolume_pa,0.17602692369394812,0.0265586979192613,0.17602692369394812,0.0265586979192613,5
Monoclinic,MagpieData avg_dev MeltingT,-0.0963637077618379,0.029022052426977894,0.0963637077618379,0.029022052426977894,5
Monoclinic,MagpieData avg_dev MendeleevNumber,0.10376166137819016,0.04480264804037754,0.10376166137819016,0.04480264804037754,5
Monoclinic,MagpieData avg_dev NUnfilled,-0.057795029342828784,0.027986660510335774,0.057795029342828784,0.027986660510335774,5
Monoclinic,MagpieData avg_dev NValence,0.0796882630405622,0.04072764809052228,0.0796882630405622,0.04072764809052228,5
Monoclinic,MagpieData avg_dev NdUnfilled,0.31611491287516313,0.07794952184649834,0.31611491287516313,0.07794952184649834,5
Monoclinic,MagpieData avg_dev NdValence,-0.3035164435683647,0.057784543722776416,0.3035164435683647,0.057784543722776416,5
Monoclinic,MagpieData avg_dev NfUnfilled,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData avg_dev NfValence,-0.11185244383645339,0.08891752274692341,0.11185244383645339,0.08891752274692341,4
Monoclinic,MagpieData avg_dev NpUnfilled,0.13347192037216962,0.019277989585166536,0.13347192037216962,0.019277989585166536,5
Monoclinic,MagpieData avg_dev NpValence,0.04211769697714958,0.03678949215587432,0.04211769697714958,0.03678949215587432,5
Monoclinic,MagpieData avg_dev NsUnfilled,0.18808285997742602,0.02941823939964536,0.18808285997742602,0.02941823939964536,5
Monoclinic,MagpieData avg_dev NsValence,0.0,0.0,0.0,0.0,0
Monoclinic,MagpieData avg_dev Number,0.6999185745477907,0.05173713733174426,0.6999185745477907,0.05173713733174426,5
